index,23SoilWC ค.ชื้นดิน
02_1,31.1
02_2,37.22700000000003
02_3,37.16100000000004
02_4,37.206000000000024
02_5,37.196000000000026
02_6,37.281000000000034
02_7,37.23400000000003
02_8,37.23800000000003
02_9,37.25500000000002
02_10,37.310000000000024
02_11,37.21600000000003
02_12,37.25100000000003
02_13,37.18800000000003
02_14,37.168000000000035
02_15,37.290000000000035
02_16,37.156000000000056
02_17,37.085000000000036
02_18,43.367000000000004
02_19,44.31500000000001
02_20,44.50900000000005
02_21,45.33300000000004
02_22,44.89000000000006
02_23,44.932000000000045
02_24,44.84800000000005
02_25,52.12900000000003
02_26,45.37900000000004
02_27,45.72700000000005
02_28,45.63900000000003
02_29,45.78600000000002
02_30,39.402999999999984
02_31,45.392000000000046
02_32,39.09299999999998
02_33,48.76600000000002
02_34,50.942000000000036
02_35,49.790000000000006
02_36,54.27000000000002
02_37,51.03099999999999
02_38,51.03699999999999
02_39,46.299
02_40,47.23999999999998
02_41,39.908999999999985
02_42,46.21199999999999
02_43,46.125
02_44,46.43699999999999
02_45,51.08299999999999
02_46,46.229
02_47,46.15099999999998
02_48,46.30699999999999
02_49,39.76399999999998
02_50,46.016000000000005
02_51,46.184
02_52,49.593999999999994
02_53,48.74000000000003
02_54,45.40400000000004
02_55,52.785999999999994
02_56,45.293000000000035
02_57,44.999000000000045
02_58,45.259000000000036
02_59,45.163000000000046
02_60,52.175000000000026
02_61,41.90399999999999
02_62,48.605000000000025
02_63,32.41899999999999
02_64,37.989000000000026
02_65,37.90200000000003
02_66,32.40299999999999
02_67,37.58700000000001
02_68,37.53000000000003
02_69,37.22400000000002
02_70,37.543
02_71,37.22700000000002
02_72,37.42
02_73,37.43199999999999
02_74,37.57900000000001
02_75,37.57600000000001
02_76,37.502
02_77,38.17700000000003
02_78,32.63499999999998
02_79,37.571
02_80,37.379000000000005
02_81,37.448
02_82,37.111000000000026
02_83,37.22700000000002
02_84,37.366
02_85,37.320000000000014
02_86,37.243000000000016
02_87,38.137000000000036
02_88,37.356000000000016
02_89,37.35700000000002
02_90,37.392000000000024
02_91,37.365000000000016
02_92,37.356000000000016
02_93,32.47899999999998
02_94,37.372000000000014
02_95,38.145000000000024
02_96,38.10100000000003
02_97,38.14200000000003
02_98,37.371000000000016
02_99,32.352000000000004
02_100,32.323
02_101,32.326
02_102,37.92500000000005
02_103,38.074000000000034
02_104,37.61100000000005
02_105,37.719000000000044
02_106,37.612000000000045
02_107,37.72200000000004
02_108,37.99700000000004
02_109,38.089000000000034
02_110,37.93900000000005
02_111,37.989000000000054
02_112,38.039000000000044
02_113,37.58500000000005
09_1,40.06600000000002
09_2,39.957
09_3,39.43099999999999
09_4,39.42199999999998
09_5,34.092
09_6,34.083
09_7,39.432
09_8,39.418999999999976
09_9,39.49499999999998
09_10,39.35299999999998
09_11,39.51099999999998
09_12,39.70600000000001
09_13,39.521
09_14,39.69100000000001
09_15,37.99000000000001
09_16,38.24800000000002
09_17,33.82799999999999
09_18,38.105
09_19,38.19000000000001
09_20,38.19900000000002
09_21,38.22700000000002
09_22,38.29300000000003
09_23,38.21800000000002
09_24,38.135
09_25,38.304
09_26,38.25900000000001
09_27,38.08700000000001
09_28,38.14900000000001
09_29,38.044999999999995
09_30,33.97299999999998
09_31,38.13400000000001
09_32,38.175
09_33,39.14000000000001
09_34,39.028
09_35,38.909000000000006
09_36,39.21900000000001
09_37,39.27600000000001
09_38,38.90399999999999
09_39,39.05299999999999
09_40,38.935
09_41,38.95400000000001
09_42,38.88700000000001
09_43,33.941999999999986
09_44,38.92600000000001
09_45,39.17800000000001
09_46,39.054
09_47,33.204
09_48,33.018
09_49,33.204
09_50,34.64299999999999
09_51,33.51099999999998
09_52,33.204
09_53,35.078
09_54,33.514
09_55,33.382999999999996
09_56,33.382999999999996
09_57,33.51
09_58,33.38300000000001
09_59,33.38300000000001
09_60,33.33999999999998
09_61,33.53599999999999
09_62,33.24599999999999
09_63,33.19099999999998
09_64,37.10799999999997
09_65,33.77599999999998
09_66,37.42999999999998
09_67,33.79399999999998
09_68,33.842999999999975
09_69,33.65999999999998
09_70,33.78699999999997
09_71,33.73099999999997
09_72,33.770999999999994
09_73,33.55700000000001
09_74,33.86899999999997
09_75,35.38399999999999
09_76,35.312
09_77,33.934
09_78,33.824999999999996
09_79,33.911000000000016
09_80,33.889
09_81,33.979
09_82,33.92000000000001
09_83,33.841
09_84,33.788999999999994
09_85,34.02900000000002
09_86,33.979
09_87,34.01499999999999
09_88,33.76499999999999
09_89,33.988000000000014
09_90,34.02
09_91,34.10300000000001
09_92,37.833999999999975
09_93,37.80999999999999
09_94,41.79499999999995
09_95,35.312
09_96,41.75299999999996
09_97,41.75799999999995
09_98,41.392999999999965
09_99,41.57799999999997
09_100,41.57799999999997
09_101,42.39999999999995
09_102,41.25799999999997
09_103,41.37899999999996
09_104,40.23499999999998
09_105,41.51499999999996
09_106,42.489999999999945
09_107,41.21599999999996
09_108,41.61199999999995
09_109,41.482999999999954
09_110,41.45399999999996
09_111,41.68199999999995
09_112,41.60399999999995
09_113,41.60299999999996
09_114,41.57399999999995
09_115,41.57399999999995
09_116,41.60399999999995
