index,23SoilWC ค.ชื้นดิน
02_1,31.1
02_2,37.206000000000024
02_3,36.794000000000025
02_4,37.63800000000001
02_5,37.63800000000001
02_6,37.54600000000001
02_7,37.280000000000015
02_8,37.420000000000016
02_9,35.998000000000005
02_10,35.99600000000001
02_11,35.922000000000004
02_12,36.194
02_13,36.05
02_14,36.21600000000001
02_15,36.05
02_16,36.89600000000001
02_17,37.974000000000004
02_18,43.646
02_19,46.13599999999999
02_20,47.888000000000005
02_21,49.13799999999999
02_22,48.324
02_23,49.418
02_24,49.324000000000005
02_25,49.373999999999995
02_26,49.618
02_27,49.855999999999995
02_28,49.62200000000001
02_29,49.92199999999999
02_30,44.211999999999996
02_31,49.391999999999996
02_32,43.604
02_33,72.38599999999998
02_34,73.07199999999997
02_35,72.27799999999998
02_36,73.34799999999997
02_37,73.24399999999997
02_38,72.99199999999998
02_39,73.06999999999998
02_40,73.60199999999998
02_41,73.92399999999998
02_42,70.32799999999999
02_43,69.66599999999998
02_44,70.36799999999998
02_45,71.222
02_46,70.776
02_47,70.24399999999999
02_48,70.37199999999997
02_49,71.32399999999998
02_50,68.89199999999997
02_51,70.50399999999999
02_52,70.328
02_53,70.384
02_54,48.78999999999999
02_55,49.604
02_56,49.666
02_57,48.47999999999998
02_58,48.23199999999998
02_59,48.47199999999999
02_60,49.286
02_61,45.92799999999999
02_62,49.794
02_63,36.897999999999996
02_64,39.76800000000002
02_65,39.866000000000014
02_66,36.428000000000004
02_67,39.236
02_68,39.56600000000001
02_69,39.418
02_70,39.434000000000005
02_71,39.428000000000004
02_72,39.6
02_73,40.78800000000001
02_74,41.16000000000002
02_75,41.21400000000001
02_76,40.92400000000001
02_77,39.78800000000002
02_78,36.91999999999999
02_79,40.37000000000001
02_80,40.04600000000001
02_81,39.510000000000005
02_82,38.80400000000001
02_83,38.81800000000001
02_84,38.990000000000016
02_85,38.856000000000016
02_86,38.862000000000016
02_87,38.74800000000002
02_88,39.68600000000001
02_89,39.57000000000001
02_90,39.65200000000001
02_91,39.926000000000016
02_92,39.616000000000014
02_93,37.777999999999984
02_94,39.68200000000001
02_95,38.84400000000002
02_96,38.68600000000003
02_97,38.74800000000002
02_98,39.838000000000015
02_99,37.727999999999994
02_100,37.65200000000001
02_101,38.68600000000001
02_102,39.076000000000015
02_103,38.472000000000016
02_104,38.55600000000002
02_105,38.350000000000016
02_106,38.43800000000002
02_107,38.39800000000002
02_108,38.13600000000002
02_109,38.536000000000016
02_110,38.292000000000016
02_111,38.090000000000025
02_112,38.116000000000014
02_113,37.94600000000002
09_1,39.60000000000001
09_2,40.18199999999999
09_3,40.81
09_4,40.79
09_5,37.44400000000001
09_6,37.81600000000001
09_7,39.982000000000006
09_8,40.692
09_9,40.528000000000006
09_10,40.542
09_11,40.692
09_12,40.08600000000001
09_13,39.970000000000006
09_14,38.720000000000006
09_15,41.088
09_16,38.67400000000001
09_17,36.918000000000006
09_18,39.278
09_19,38.728
09_20,38.726
09_21,38.861999999999995
09_22,41.43400000000001
09_23,38.724000000000004
09_24,39.152
09_25,38.674
09_26,38.59600000000001
09_27,38.706
09_28,38.81
09_29,41.206
09_30,36.488000000000014
09_31,38.624
09_32,38.68800000000001
09_33,39.232
09_34,39.842
09_35,39.268
09_36,41.83000000000001
09_37,39.232
09_38,39.566
09_39,39.258
09_40,39.343999999999994
09_41,39.306000000000004
09_42,39.236
09_43,36.00000000000001
09_44,39.308
09_45,39.254
09_46,39.78999999999999
09_47,37.604000000000006
09_48,37.160000000000004
09_49,37.27
09_50,36.928000000000004
09_51,37.54800000000001
09_52,37.604000000000006
09_53,52.917999999999985
09_54,50.26200000000001
09_55,49.878000000000014
09_56,50.92
09_57,50.77000000000001
09_58,50.70000000000001
09_59,51.25200000000001
09_60,51.25400000000001
09_61,50.856000000000016
09_62,50.61000000000002
09_63,50.85000000000003
09_64,49.85600000000002
09_65,49.70200000000002
09_66,49.506
09_67,49.70200000000002
09_68,49.70200000000002
09_69,50.00400000000001
09_70,49.72400000000002
09_71,50.25400000000001
09_72,52.152
09_73,52.58200000000001
09_74,49.70200000000002
09_75,52.13800000000002
09_76,36.882
09_77,37.480000000000004
09_78,37.628
09_79,37.49400000000001
09_80,37.38
09_81,37.540000000000006
09_82,37.268
09_83,36.98600000000001
09_84,37.434000000000005
09_85,37.458000000000006
09_86,37.27400000000001
09_87,37.27400000000001
09_88,37.378
09_89,37.232
09_90,36.88200000000001
09_91,37.276
09_92,37.95600000000001
09_93,37.85000000000001
09_94,42.582
09_95,37.492000000000004
09_96,42.508
09_97,42.60999999999999
09_98,41.724
09_99,41.855999999999995
09_100,41.72199999999999
09_101,42.54599999999999
09_102,44.574000000000005
09_103,41.111999999999995
09_104,41.05999999999999
09_105,41.81399999999999
09_106,42.292
09_107,42.085999999999984
09_108,41.78
09_109,44.07200000000001
09_110,41.62
09_111,41.599999999999994
09_112,41.68199999999999
09_113,44.172
09_114,41.779999999999994
09_115,41.779999999999994
09_116,41.68199999999999
